   0.0,                0.00
   0.00038313,      5455.8        
   0.0015174 ,       10560        
   0.0034254 ,       15272        
   0.0060997 ,       19834        
   0.0095025 ,       24230        
   0.013702 ,        28357       
   0.018667 ,        32157       
   0.024338 ,        35659       
   0.030829 ,        38953       
   0.038085 ,        41834       
   0.046025 ,        44381       
   0.054807 ,        46847       
   0.064256 ,        48728       
   0.074563 ,        49598       
   0.085636 ,        49902       
   0.097354 ,        49621       
    0.10995 ,        48938       
    0.12332 ,        47851       
     0.1373 ,        46554 
    0.15219 ,        45179 
    0.16785 ,        43877 
     0.1841 ,        43302 
    0.20128 ,        44081 
    0.21923 ,        50427 
    0.23775 ,        49846 
    0.25722 ,        48028 
    0.27726 ,        45309 
    0.29825 ,        41808 
    0.32001 ,        38609 
    0.34232 ,        35178 
     0.3656 ,        31737 
    0.38966 ,        28215 
    0.41423 ,        24716 
    0.43981 ,        21297 
    0.46615 ,        18027 
    0.49299 ,        15002 
    0.52086 ,        12220 
    0.54949 ,       9762.5 
     0.5786 ,       7622.7 
    0.60876 ,       5792.5 
    0.63969 ,       4289.4 
    0.67107 ,       3065.4 
    0.70352 ,       2063.8 
    0.73674 ,       1246.5 
    0.77038 ,        562.4 
    0.80512 ,        -34.7 
    0.84063 ,       -556.3 
    0.87655 ,      -1009.8 
    0.91358 ,      -1316.9 
    0.951   ,      -1312.2
    1.0     ,          0.0

